w_code	w_name	population
0	Addis Ketema	301091
0	Afdem	79538
0	Afder	102208
0	Akaki Kaliti	216441
0	Arada	250499
0	Aware	117875
0	Awuber	416342
0	Ayesha	71299
0	Babile Somali	94925
0	Bare	114427
0	Boh	126569
0	Bole	364554
0	Chereti	115768
0	Dambel	100741
0	Danot	57787
0	Debeweyin	85997
0	Degehabur	71723
0	Degehamedo	141647
0	Denan	29133
0	Dolo Odo	136546
0	Dolobay	103303
0	Duhun	30778
0	Elkere	70875
0	Erer	95220
0	Ferfer	47832
0	Filtu	159373
0	Fiq	160753
0	Galadin	120353
0	Garbo	55704
0	Gashamo	116839
0	Gode	134563
0	Gulele	315745
0	Guradamole	76863
0	Hamero	73937
0	Harshin	97161
0	Jijiga	339915
0	Kebri Beyah	167031
0	Kebri Dehar	203129
0	Kelafo	94912
0	Kirkos	260964
0	Kolfe Keraniyo	505675
0	LIDETA	238081
0	Mierab Emi	59014
0	Mieso	87794
0	Miesso	87794
0	Moyale	311601
0	Mustahil	60508
0	Nefas Silk Lafto	372136
0	SOMALE KILLIL	0
0	Segeg	29411
0	Shekosh	59708
0	Shilabo	70628
0	Shinile	125884
0	Warder	70532
0	Yeka	408357
10101	Tahitay Adiyabo	111336
10102	Laelay Adiabo	136721
10103	Medebay Zana	153521
10104	Tahitay Qoraro	120846
10105	Asegede Tsimbila	165168
10106	Tselemt	169150
10107	Enda Silase Town	103230
10108	Shiraro Town	20757
10201	Mereb Leha	130612
10202	Ahiferom	211577
10203	Wereilehi	178430
10204	Geter Adwa	121466
10205	Lailay Mayichewu	88469
10206	Tahitay Maychew	83520
10207	Nader Adet	127374
10208	Kola Temben	163646
10209	Degua Temben	138320
10210	Tanqua Abergele	113121
10211	Abiyi adi Town	19597
10212	Adwa Town	49348
10213	Axum Town	54376
10301	Gulo Meheda	103274
10302	Erop	31510
10303	Saesi Tsadamba	168192
10304	Ganta Afeshum	107970
10305	Hawzen	144561
10306	Klite Awlalo	121460
10307	Atsbi Wonberta	136746
10308	Adi Girat Town	70146
10309	Wukro Town	36806
10401	Seharti Samre	151690
10402	Enderta	139235
10403	Hintalo Wajirat	185464
10404	alage	131531
10405	Endamehone	56512
10406	Raya Azebo	165750
10407	Alamata	104002
10408	Ofla	154680
10409	Michew Town	28613
10410	Korem Town	19312
10411	Alamata Town	40449
10501	Kafta Humera	112269
10502	Welqayet	170575
10503	Tsegede	126732
10504	Setit Humera Town	26058
10601	Mekele Town	262622
120101	Gambela zuriya	14599
120102	Abobo	22851
120103	Goge	23201
120104	Jore	12222
120105	Dima	11028
120106	Gambela  Town	53778
120201	Lare	44465
